１　交通事故発生状況の推移,,,,,,,,,,
,,,,,,,,,,
,,,発生件数,発生件数,負傷者数,負傷者数,死者数,死者数,人口10万人当たり死者数,人口10万人当たり死者数
時間軸コード,和暦（暦年）,西暦（暦年）,件,指数,人,指数,人,指数,人,指数
1948000000,昭和23年,1948,21341 ,***,17609 ,***,3848 ,23 ,4.93,30
1949000000,昭和24年,1949,25113 ,***,20242 ,***,3790 ,23 ,4.74,29
1950000000,昭和25年,1950,33212 ,***,25450 ,***,4202 ,25 ,5.14,31
1951000000,昭和26年,1951,41423 ,***,31274 ,***,4429 ,26 ,5.32,33
1952000000,昭和27年,1952,58487 ,***,43321 ,***,4696 ,28 ,5.55,34
1953000000,昭和28年,1953,80019 ,***,59280 ,***,5544 ,33 ,6.46,40
1954000000,昭和29年,1954,93869 ,***,72390 ,***,6374 ,38 ,7.32,45
1955000000,昭和30年,1955,93981 ,***,76501 ,***,6379 ,38 ,7.22,44
1956000000,昭和31年,1956,122691 ,***,102072 ,***,6751 ,40 ,7.56,46
1957000000,昭和32年,1957,146833 ,***,124530 ,***,7575 ,45 ,8.39,51
1958000000,昭和33年,1958,168799 ,***,145432 ,***,8248 ,49 ,9.05,55
1959000000,昭和34年,1959,201292 ,***,175951 ,***,10079 ,60 ,10.95,67
1960000000,昭和35年,1960,449917 ,***,289156 ,29 ,12055 ,72 ,12.97,79
1961000000,昭和36年,1961,493693 ,***,308697 ,31 ,12865 ,77 ,13.77,84
1962000000,昭和37年,1962,479825 ,***,313813 ,32 ,11445 ,68 ,12.14,74
1963000000,昭和38年,1963,531966 ,***,359089 ,37 ,12301 ,73 ,12.92,79
1964000000,昭和39年,1964,557183 ,***,401117 ,41 ,13318 ,79 ,13.85,85
1965000000,昭和40年,1965,567286 ,***,425666 ,43 ,12484 ,74 ,12.85,79
1966000000,昭和41年,1966,425944 ,59 ,517775 ,53 ,13904 ,83 ,14.15,87
