
,人口,出生数,死亡数,（再掲）,,自然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数
,,,,乳児死亡数,新生児,増減数,総数,自然死産,人工死産,総数,22週以後,早期新生児,,
,,,,,死亡数,,,,,,の死産数,死亡数,,
全　国,120295592,686173,1605378,1266,637,-919205,15323,6849,8474,2285,1800,485,485092,185904
01 北海道,4980000,22658,76669,52,33,-54011,601,248,353,89,63,26,17618,8778
02 青森県,1157000,5099,20511,11,7,-15412,116,48,68,17,10,7,3313,1752
03 岩手県,1134000,4896,19677,8,3,-14781,123,55,68,17,15,2,3284,1449
04 宮城県,2219000,11242,29004,21,7,-17762,283,123,160,29,23,6,8157,3177
05 秋田県,891000,3282,17421,3,1,-14139,79,46,33,14,14,-,2247,1043
06 山形県,1001000,4699,16871,11,8,-12172,93,52,41,17,10,7,2946,1181
07 福島県,1724000,8216,27338,18,9,-19122,191,87,104,32,26,6,5495,2600
08 茨城県,2716000,13976,38942,36,17,-24966,335,145,190,53,41,12,9414,4176
09 栃木県,1830000,9262,25557,16,8,-16295,208,89,119,33,25,8,6537,2748
10 群馬県,1811000,9334,27251,19,14,-17917,233,101,132,36,24,12,6246,2783
11 埼玉県,7083000,39956,86383,57,21,-46427,1005,427,578,139,124,15,28250,10562
12 千葉県,6057000,33763,75159,53,20,-41396,758,362,396,110,96,14,24093,9110
13 東京都,13463000,84207,140329,113,53,-56122,1938,762,1176,230,191,39,76441,20424
14 神奈川県,8941000,51423,102079,112,54,-50656,1149,483,666,151,110,41,39586,13202
15 新潟県,2078000,9941,33059,22,13,-23118,219,102,117,35,29,6,6352,2472
16 富山県,974000,5078,15184,6,5,-10106,78,33,45,14,10,4,3324,1096
17 石川県,1079000,6078,15034,7,2,-8956,115,65,50,17,15,2,3761,1356
18 福井県,721000,4383,10510,3,2,-6127,95,48,47,10,8,2,2584,913
19 山梨県,769000,4153,11206,7,3,-7053,101,43,58,25,23,2,2781,1167
20 長野県,1945000,10513,28908,18,7,-18395,197,94,103,32,29,3,6728,2626
21 岐阜県,1846000,9831,26392,21,10,-16561,201,99,102,41,35,6,6263,2625
22 静岡県,3411000,17439,49100,17,11,-31661,304,156,148,55,46,9,12316,4902
23 愛知県,7160000,45514,82618,90,49,-37104,933,447,486,147,111,36,32250,11109
24 三重県,1649000,8896,24004,10,3,-15108,191,78,113,23,21,2,6095,2533
25 滋賀県,1360000,8795,15523,19,15,-6728,184,99,85,45,31,14,5304,1901
26 京都府,2441000,12938,31281,24,11,-18343,280,127,153,42,35,7,9037,3650
27 大阪府,8453000,53351,108534,90,48,-55183,1092,448,644,168,131,37,39387,15141
28 兵庫県,5204000,30535,67956,64,41,-37421,618,321,297,119,89,30,19676,8262
29 奈良県,1267000,6697,17379,22,7,-10682,145,70,75,28,22,6,3856,1857
30 和歌山県,871000,4457,14586,14,5,-10129,78,39,39,17,14,3,2966,1479
31 鳥取県,525000,3092,8032,5,3,-4940,71,34,37,9,7,2,1738,781
32 島根県,631000,3622,10440,3,1,-6818,90,52,38,14,13,1,1982,830
33 岡山県,1795000,10926,25574,20,9,-14648,258,125,133,49,40,9,6753,2908
34 広島県,2655000,15765,35599,37,18,-19834,350,162,188,51,34,17,10099,4099
35 山口県,1260000,6777,21272,10,6,-14495,141,70,71,24,21,3,4189,1817
36 徳島県,678000,3547,11333,6,4,-7786,67,28,39,12,8,4,2280,996
37 香川県,899000,5059,13778,10,7,-8719,98,35,63,19,13,6,3327,1440
38 愛媛県,1259000,6557,20407,6,4,-13850,143,68,75,22,19,3,4104,1884
39 高知県,649000,3108,11439,7,5,-8331,71,33,38,13,9,4,2071,1074
40 福岡県,4989000,32280,62933,78,40,-30653,735,312,423,128,100,28,21033,8927
41 佐賀県,777000,4824,11381,13,4,-6557,85,43,42,16,12,4,2609,1159
42 長崎県,1237000,7000,19969,14,7,-12969,181,93,88,23,17,6,4114,1902
43 熊本県,1669000,10337,24660,25,14,-14323,278,130,148,34,24,10,5981,2781
44 大分県,1066000,5957,16789,11,6,-10832,142,62,80,16,12,4,3608,1736
45 宮崎県,1021000,6000,16446,13,4,-10446,157,79,78,18,14,4,3444,1777
46 鹿児島県,1513000,8939,24426,19,5,-15487,220,104,116,20,16,4,5065,2497
47 沖縄県,1437000,11753,15458,23,12,-3705,283,117,166,30,19,11,6388,3222
外　国,・,18,134,1,-,-116,9,5,4,1,1,-,・,・
不　詳,・,・,843,1,1,・,1,-,1,1,-,1,・,・
50 東京都の区部,9874000,61449,92337,89,42,-30888,1428,547,881,168,138,30,61219,14786
51 札幌市,1968000,9586,24576,24,17,-14990,281,101,180,40,30,10,8114,3577
52 仙台市,1096000,6139,11286,9,3,-5147,149,60,89,15,13,2,4878,1559
53 さいたま市,1350000,8973,13692,15,4,-4719,186,88,98,26,23,3,6265,1748
54 千葉市,985000,5232,11471,5,3,-6239,119,59,60,14,12,2,3917,1364
55 横浜市,3771000,21288,40378,45,22,-19090,464,195,269,68,50,18,16042,5106
56 川崎市,1552000,10391,13969,22,11,-3578,192,77,115,23,14,9,9659,2148
57 相模原市,724000,3747,8201,7,5,-4454,95,37,58,9,7,2,2696,1110
58 新潟市,766000,4079,10660,10,7,-6581,82,39,43,15,14,1,2632,958
59 静岡市,672000,3396,9382,3,3,-5986,63,30,33,12,10,2,2499,955
60 浜松市,775000,4288,10044,6,3,-5756,72,39,33,14,12,2,2958,982
61 名古屋市,2331000,14795,26621,29,16,-11826,297,142,155,40,29,11,12292,3797
62 京都市,1437000,7090,16977,10,4,-9887,152,65,87,18,16,2,5773,2100
63 大阪市,2792000,17164,33945,35,18,-16781,408,141,267,59,46,13,16791,5327
